,open,high,low,close,volume,market_return,cum_market_return,ma_short,ma_long,feat_ma_ratio,feat_ma_trend,ma_trend_line,feat_trend_ratio,rsi,feat_rsi,ema_fast,ema_slow,macd_line,signal_line,macd_hist,feat_macd,bb_middle,bb_std_val,bb_upper,bb_lower,feat_bb_pos,k,d,j,feat_kdj,atr,feat_atr_ratio,next_ret,position,signal,cash,shares,total_value,strategy_return,cum_strategy_return
2025-10-28,268.23113785786586,269.12862319727753,267.39351124836816,268.2411193847656,41534800,0.0007067783895675639,0.9035007535196917,262.98798217773435,258.5435501098633,1.0171902607850485,1.0,241.52351786295574,1.1106211132050037,61.17693454725256,0.6117693454725256,259.3943766318846,253.94175300760523,5.452623624279369,4.5042504072066425,0.9483732170727261,0.003535525111557757,255.74247665405272,6.774598829502666,269.2916743130581,242.1932789950474,0.9612318044225291,87.46639376312837,76.6799028647456,109.03937555989387,1.0903937555989387,5.634780139193895,0.02100639950769425,0.0026022429598195895,1.0,1,0.0,705.0080859522083,189112.1581511314,0.0007067783895677859,0.891121581511314
2025-10-29,268.5203194424725,270.6443152614699,266.35642794866993,268.93914794921875,51086700,0.0026022429598195895,0.9084541249545495,265.23163452148435,260.5738067626953,1.0178752684269439,1.0,242.63720118204753,1.1084003010694017,67.16357519920808,0.6716357519920808,260.86280298839756,255.05267115142846,5.810131836969106,4.765426693159135,1.0447051438099706,0.0038845409747586897,256.4529670715332,7.380765723462784,271.21449851845875,241.6914356246076,0.9229296939700795,89.28304661144387,80.8809507803117,106.08723827370821,1.060872382737082,5.590618349374462,0.020787670263766937,0.006303249053230431,1.0,1,0.0,705.0080859522083,189604.27393329647,0.0026022429598195895,0.8960427393329646
2025-10-30,271.2226702585742,273.36662916750566,267.72259312931254,270.63433837890625,69886500,0.006303249053230431,0.920483586610803,267.58897094726564,262.96204833984376,1.0175953968226121,1.0,243.6076510111491,1.110943503394221,83.89110809905569,0.8389110809905569,262.3661161253989,256.20686872383425,6.159247401564642,5.0441908348402364,1.1150565667244052,0.004120159212919581,257.16445388793943,8.032902843641109,273.2302595752216,241.0986482006572,0.9192097126638339,87.97380766847675,83.24523640970006,97.43095018603015,0.9743095018603014,5.111972409832006,0.0188888535784622,-0.0037950435186790976,1.0,0,0.0,705.0080859522083,190799.39689345495,0.006303249053230431,0.9079939689345495
2025-10-31,276.2085891024436,276.53767519933945,268.40069127196034,269.6072692871094,86167100,-0.0037950435186790976,0.913195267822706,269.09470825195314,264.76495056152345,1.016353209383998,1.0,244.44842987060548,1.1029208423506769,80.53249966100591,0.8053249966100592,263.480139688739,257.19949098778056,6.280648700958409,5.291482408063871,0.989166292894538,0.0036689155000944815,257.7802131652832,8.50153920967162,274.78329158462645,240.77713474593997,0.8477915875686294,81.39931968520989,82.62993083487001,78.93809738588965,0.7893809738588965,5.378361101226146,0.019948872652798412,-0.004882341269010548,1.0,0,0.0,705.0080859522083,190075.30487890655,-0.0037950435186792086,0.9007530487890656
2025-11-03,269.65711516237894,270.08589475979994,265.49886601188945,268.2909545898437,50194600,-0.004882341269010548,0.9038543956109395,269.14256591796874,265.44402770996095,1.0139333976581897,1.0,245.1125503540039,1.0945622862142395,77.70834576711698,0.7770834576711698,264.2202650581397,258.0210808842297,6.199184173909998,5.473022761233096,0.7261614126769018,0.002706619054974923,258.39646911621094,8.8044112778389,276.00529167188876,240.78764656053315,0.7809524788325463,75.0062225791372,80.08869474962574,64.8412782381601,0.648412782381601,5.410413049971813,0.02016621483969483,0.0036797500454426313,1.0,0,0.0,705.0080859522083,189147.29237367652,-0.004882341269010437,0.8914729237367651
2025-11-04,267.5730004152706,270.7240893859628,266.8650119182292,269.2781982421875,49274800,0.0036797500454426313,0.9108601039097051,269.3499816894531,266.1689819335937,1.0119510497459165,1.0,245.82486877441406,1.0954066547021701,77.36650881155478,0.7736650881155478,264.9984086249163,258.8549414292636,6.143467195652704,5.607111648117018,0.5363555475356865,0.001991826850614412,259.07255630493165,9.105047688332911,277.2826516815975,240.86246092826582,0.7802193219183766,70.77059173554557,76.98266041159903,58.34645438343864,0.5834645438343864,5.37622327845538,0.01996531205862689,0.00037036583712879434,1.0,1,0.0,705.0080859522083,189843.3071313839,0.0036797500454424092,0.8984330713138389
2025-11-05,267.8522167164328,270.9335263776032,266.17696342424256,269.3779296875,43683100,0.00037036583712879434,0.9115678212117255,269.4377380371094,267.3346862792969,1.007866733566136,1.0,246.49779891967773,1.0928208275095268,81.48767867582009,0.814876786758201,265.672181096083,259.6344220409848,6.037759055098206,5.693241129513256,0.34451792558495065,0.0012789389416782589,259.6748527526855,9.378171579631422,278.43119591194835,240.91850959342267,0.7586611924766749,67.32005570292503,73.76179217537437,54.43658275802636,0.5443658275802636,5.416113059876015,0.02010600143097521,-0.0013697782796735503,1.0,1,0.0,705.0080859522083,189913.61860675292,0.00037036583712879434,0.8991361860675291
2025-11-06,267.1342708755924,272.6287059365568,267.1342708755924,269.0089416503906,51204000,-0.0013697782796735503,0.9089493971301068,269.11265869140624,268.35081481933594,1.0028389810172338,1.0,247.10341873168946,1.0886492058365145,77.69324954890882,0.7769324954890883,266.1855288736688,260.32883090094083,5.856697972727943,5.725932498156193,0.13076547457175014,0.00048610084588041205,260.4591346740723,9.474433777934019,279.40800222994034,241.51026711820424,0.7256020373119504,58.35012071845922,68.62456835640265,37.80122544257239,0.3780122544257239,5.373375319711333,0.019974708895438762,-0.004818894404181151,1.0,1,0.0,705.0080859522083,189653.47905697118,-0.0013697782796735503,0.8965347905697119
2025-11-07,269.03885049148494,271.5218466038475,266.0173996929098,267.7126159667969,48227400,-0.004818894404181151,0.8997503715624116,268.7337280273438,268.9142181396484,0.9993288152895666,0.0,247.69657414754232,1.0808087104447521,63.596662590023456,0.6359666259002346,266.42046534953465,260.8757779428561,5.544687406678577,5.68968347986067,-0.14499607318209318,-0.0005416109065942019,261.6158622741699,8.82334589243223,279.26255405903436,243.96917048930544,0.6727449284605068,45.5848285551264,60.94465508931057,14.865175486758062,0.14865175486758062,4.905413422433623,0.018323430094600354,0.00454869456011342,1.0,0,0.0,705.0080859522083,188739.55896801007,-0.00481889440418104,0.8873955896801007
2025-11-10,268.46122924118225,273.22240319845355,266.96401085683,268.93035888671875,41312400,0.00454869456011342,0.9083917557431107,268.8616088867187,269.00208740234376,0.9994777753717105,0.0,248.3298027038574,1.082956434852372,64.66282365638281,0.6466282365638282,266.80660281679377,261.4724135683274,5.334189248466373,5.61858463358181,-0.28439538511543727,-0.0010575056874769842,262.7143135070801,8.25192796689288,279.21816944086584,246.21045757329432,0.6883209813590458,40.75179010120183,54.213700093274326,13.827970117056822,0.1382797011705682,5.105994270012677,0.01898630661173201,0.02160114657791201,1.0,1,0.0,705.0080859522083,189598.07757316603,0.004548694560113198,0.8959807757316602
