date,open,high,low,close,volume,short_ma,long_ma,position,signal
2016-11-07,153.99,156.11,153.84,155.72,3804943.0,153.052,152.76000000000002,1,0
2016-11-08,154.56,155.93,153.06,155.17,3921044.0,153.528,153.189,1,0
2016-11-09,152.96,155.56,151.0,154.81,5403688.0,154.1,153.489,1,0
2016-11-10,157.66,161.16,157.59,160.22,7715807.0,155.67000000000002,154.176,1,0
2016-11-11,159.97,161.34,159.33,161.27,4446630.0,157.438,155.042,1,0
2016-11-14,161.25,161.86,157.58,158.21,5196498.0,157.936,155.494,1,0
2016-11-15,158.42,159.15,157.55,158.67,3476996.0,158.636,156.082,1,0
2016-11-16,158.46,159.55,158.03,159.29,2252806.0,159.532,156.81599999999997,1,0
2016-11-17,159.22,159.93,158.85,159.8,2260984.0,159.448,157.55900000000003,1,0
2016-11-18,159.8,160.72,159.21,160.39,2981633.0,159.272,158.355,1,0
2016-11-21,160.69,163.0,160.3697,162.77,4637097.0,160.184,159.06,1,0
2016-11-22,163.0,163.0,161.95,162.67,2770736.0,160.984,159.81,1,0
2016-11-23,161.94,162.38,161.3557,161.98,2256035.0,161.522,160.527,1,0
2016-11-25,161.83,163.19,161.83,163.14,1605344.0,162.19,160.81900000000002,1,0
2016-11-28,163.2,164.66,162.7,164.52,4449355.0,163.016,161.14399999999998,1,0
2016-11-29,164.0,164.41,163.03,163.53,3148196.0,163.168,161.676,1,0
2016-11-30,163.35,163.8,162.21,162.22,4397777.0,163.07800000000003,162.031,1,0
2016-12-01,161.95,162.195,158.3,159.82,4634740.0,162.64600000000002,162.084,1,0
2016-12-02,159.0,160.29,158.41,160.02,2740782.0,162.022,162.106,0,-1
2016-12-05,160.85,161.15,159.5875,159.84,3447052.0,161.08599999999998,162.051,0,0
2016-12-06,160.13,160.79,158.93,160.35,2858962.0,160.45,161.809,0,0
2016-12-07,160.6,165.18,160.39,164.79,4435050.0,160.964,162.02100000000002,0,0
2016-12-08,164.87,166.0,164.22,165.36,3266336.0,162.072,162.35899999999998,0,0
2016-12-09,165.18,166.72,164.6042,166.52,3146930.0,163.372,162.697,1,1
2016-12-12,166.72,166.79,165.07,165.5,3392030.0,164.504,162.79500000000002,1,0
2016-12-13,165.68,169.952,165.68,168.29,5932271.0,166.092,163.27100000000002,1,0
2016-12-14,168.37,169.89,167.45,168.51,4123821.0,166.836,163.9,1,0
2016-12-15,168.01,169.85,167.78,168.02,3388570.0,167.368,164.71999999999997,1,0
2016-12-16,168.97,169.11,166.06,166.73,7117050.0,167.41,165.391,1,0
2016-12-19,166.83,167.26,166.0,166.68,2955864.0,167.64600000000002,166.075,1,0
2016-12-20,167.49,168.25,166.45,167.6,2174569.0,167.508,166.8,1,0
2016-12-21,166.25,167.94,165.25,167.33,3575210.0,167.272,167.05400000000003,1,0
2016-12-22,167.36,168.23,166.58,167.06,2802631.0,167.07999999999998,167.224,0,-1
